factor,temperature,mean,sd,n,min,max
Challenge,T=0,3.757575757575758,0.7163318456772066,11,2.6666666666666665,4.666666666666667
Challenge,T=0.35,3.7666666666666666,0.5889937013643809,10,3.0,4.666666666666667
Challenge,T=0.70,3.527777777777778,0.9583058845432225,12,1.3333333333333333,4.666666666666667
Involvement,T=0,4.409090909090909,0.5838742081211423,11,3.25,5.0
Involvement,T=0.35,4.325,0.6460349147771437,10,3.0,5.0
Involvement,T=0.70,4.083333333333333,0.5573204290227131,12,3.25,5.0
RWD,T=0,3.5454545454545454,0.7970114633600152,11,2.0,4.5
RWD,T=0.35,3.525,0.9461177986323311,10,2.5,5.0
RWD,T=0.70,3.0208333333333335,0.8947976747778678,12,1.25,4.5
