factor,test,stat,df,p,eta_sq,levene_stat,levene_p,shapiro_p_min,shapiro_p_T=0,shapiro_p_T=0.35,shapiro_p_T=0.70
Involvement,anova,0.9361408909491167,"2, 30",0.4032937351303402,0.058743261455525754,0.04742056867253246,0.9537575605184835,0.1351579891049098,0.1539771975326377,0.1351579891049098,0.5234681792928666
RWD,anova,1.3094155221713257,"2, 30",0.2849659185009221,0.08028586434573821,0.6648696422801875,0.5217555868647129,0.12358602512203452,0.14040557213650806,0.12358602512203452,0.984927667397509
Challenge,kruskal,0.08272633648534422,2,0.9594806137782432,0.0,0.9333914301590605,0.40433888051546946,0.04268084546462144,0.1237365402998137,0.4519349685499507,0.04268084546462144
Overall,anova,1.3035494066351723,"2, 30",0.2865077850622769,0.07995494564543414,0.022714879291011725,0.9775579570540412,0.09359661890601943,0.09359661890601943,0.6420852759479191,0.5021675627661139
